arm,stratum,k,age,dropped,regime,mechanisms,target_frac,n_top,b1,b2,n_dropped,lev_hit,lam_ratio
C,1,16,3.0,"[0, 1, 5, 9, 15, 16, 18, 19, 21, 23, 26, 30, 34, 37, 38, 41]",,,,,0.6444444444444445,1.0666666666666667,16,0.3078941337572049,0.98573154873093
C,1,16,3.0,"[4, 10, 11, 14, 16, 20, 21, 22, 23, 25, 29, 30, 33, 38, 42, 43]",,,,,0.6444444444444445,1.0666666666666667,16,0.3180144532021652,0.9869156140647194
C,1,16,3.0,"[6, 10, 13, 19, 20, 22, 23, 24, 27, 28, 30, 31, 38, 39, 41, 43]",,,,,0.6444444444444445,1.0666666666666667,16,0.07192517573681027,0.9954225271032445
C,1,16,3.0,"[2, 3, 11, 13, 21, 22, 23, 27, 30, 32, 35, 38, 40, 41, 42, 43]",,,,,0.6444444444444445,1.0666666666666667,16,0.04803539026928788,0.9984993167523124
C,1,16,3.0,"[1, 2, 5, 9, 11, 14, 18, 20, 24, 25, 27, 31, 33, 37, 40, 43]",,,,,0.6444444444444445,1.0666666666666667,16,0.34270855211187023,4.90268000879427e-13
C,1,16,3.0,"[3, 8, 9, 12, 15, 16, 19, 24, 25, 28, 33, 37, 38, 39, 41, 43]",,,,,0.6444444444444445,1.0666666666666667,16,0.3313611257996972,4.90268002963751e-13
C,1,16,3.0,"[0, 1, 5, 6, 7, 12, 20, 21, 22, 24, 25, 26, 27, 38, 42, 44]",,,,,0.6444444444444445,1.0666666666666667,16,0.49955969359590335,4.858825345400495e-13
C,1,16,3.0,"[1, 2, 10, 11, 12, 13, 17, 18, 19, 22, 25, 27, 28, 31, 37, 41]",,,,,0.6444444444444445,1.0666666666666667,16,0.2737800334060374,0.9887464040124949
C,1,16,3.0,"[0, 2, 4, 6, 14, 16, 17, 19, 20, 23, 29, 31, 32, 33, 37, 41]",,,,,0.6444444444444445,1.0666666666666667,16,0.27071094331816975,0.9882040339612349
C,1,16,3.0,"[1, 5, 7, 8, 10, 11, 16, 17, 19, 20, 28, 30, 34, 39, 42, 43]",,,,,0.6444444444444445,1.0666666666666667,16,0.6434250228703492,0.7755886582891667
C,1,16,3.0,"[5, 8, 11, 15, 16, 22, 23, 25, 30, 34, 36, 37, 38, 39, 40, 42]",,,,,0.6444444444444445,1.0666666666666667,16,0.29217994571295375,0.7798929811010603
C,1,16,3.0,"[2, 5, 6, 8, 9, 13, 15, 17, 21, 25, 27, 30, 35, 41, 42, 43]",,,,,0.6444444444444445,1.0666666666666667,16,0.2564944657341485,0.7164258002913434
C,1,16,3.0,"[1, 4, 6, 8, 12, 13, 17, 18, 20, 25, 30, 33, 35, 39, 40, 43]",,,,,0.6444444444444445,1.0666666666666667,16,0.648576130942219,0.49780415315438675
C,1,16,3.0,"[4, 6, 7, 8, 10, 13, 15, 17, 18, 22, 27, 29, 31, 36, 41, 42]",,,,,0.6444444444444445,1.0666666666666667,16,0.5651137246273747,0.7736761882129605
