event_id,arm,regime,stratum,configured_b1,configured_b2,lev_hit,precomputed_lam_ratio,expected_availability,mean_configured_age,mean_freshness,lam_min,lam_ratio,observability_loss,u_lmax,u_trace
48,C,,0,0.8222222222222222,0.5333333333333333,0.2072539198814689,0.7807896771488037,0.8222222222222222,0.5333333333333333,0.8222222222222222,4.440889268005884,0.7807896771478573,0.2192103228521427,0.00011215820006520001,6.356207958890995e-05
49,C,,0,0.8222222222222222,0.5333333333333333,0.2824518575330513,0.9879196941125612,0.8222222222222222,0.5333333333333333,0.8222222222222222,5.6189804958296605,0.987919694113196,0.012080305886803977,4.886263380898122e-06,6.00010380811695e-06
50,C,,0,0.8222222222222222,0.5333333333333333,0.3693577474203267,0.9893288516824792,0.8222222222222222,0.5333333333333333,0.8222222222222222,5.626995346567174,0.9893288516809868,0.010671148319013168,4.310143125772248e-06,9.555632691196064e-06
51,C,,0,0.8222222222222222,0.5333333333333333,0.0377050554329672,0.9960459709995796,0.8222222222222222,0.5333333333333333,0.8222222222222222,5.665200235763024,0.9960459710011207,0.003954028998879311,1.5862974817221238e-06,7.2940529261566705e-06
52,C,,0,0.8222222222222222,0.5333333333333333,0.0178160157295132,0.9987864290116784,0.8222222222222222,0.5333333333333333,0.8222222222222222,5.680787110078285,0.998786429010744,0.0012135709892560076,4.855320647619728e-07,7.504319168511591e-06
53,C,,0,0.8222222222222222,0.5333333333333333,0.047956216062446,0.9988074142467488,0.8222222222222222,0.5333333333333333,0.8222222222222222,5.680906467584698,0.9988074142466447,0.0011925857533553463,4.771261629987056e-07,3.0118296654842903e-06
54,C,,0,0.8222222222222222,0.5333333333333333,0.0323062903975907,0.9967000701423022,0.8222222222222222,0.5333333333333333,0.8222222222222222,5.668920548594985,0.996700070142003,0.003299929857996986,1.3230147120178672e-06,3.5471287448748986e-06
55,C,,0,0.8222222222222222,0.5333333333333333,0.2287163253276584,0.9898929253780782,0.8222222222222222,0.5333333333333333,0.8222222222222222,5.63020362260908,0.9898929253751921,0.010107074624807866,4.0799863675254265e-06,2.3503982029604037e-06
56,C,,0,0.8222222222222222,0.5333333333333333,0.4546997937591093,0.5587969046198731,0.8222222222222222,0.5333333333333333,0.8222222222222222,3.1782633010502686,0.5587969046191121,0.44120309538088787,0.0003152593726171357,0.00010071210600976883
57,C,,0,0.8222222222222222,0.5333333333333333,0.0618420300804462,0.9961046740070316,0.8222222222222222,0.5333333333333333,0.8222222222222222,5.665534120232901,0.9961046740066917,0.0038953259933083295,1.5626547068136273e-06,1.6984963609637141e-06
58,C,,0,0.8222222222222222,0.5333333333333333,0.4045949378901671,0.9853661800001944,0.8222222222222222,0.5333333333333333,0.8222222222222222,5.604456900353857,0.9853661799996432,0.014633820000356845,5.934436718218281e-06,1.3796083629863876e-05
